ingredient,Added sugars,Calcium,Carbohydrate,Cholesterol,Choline,Copper,Fiber,Folate,Iron,Magnesium,Manganese,Niacin,Pantothenic acid,Phosphorus,Potassium,Protein,Riboflavin,Saturated fat,Selenium,Sodium,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Zinc
almond,0,20,8,0,9,108,34,10,23,63,0,24,0,40,16,41,72,21,1,10,8,0,0,5,0,0,110,0,29
amaretto,67,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
anchovy,0,18,0,28,15,38,0,3,26,16,0,124,0,20,12,58,28,11,124,159,6,1,37,12,0,8,22,10,22
anise,0,50,18,0,0,101,52,2,206,40,100,19,16,35,31,35,22,0,9,1,28,35,0,38,23,0,0,0,48
aperitif,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appetizer,8,2,3,0,0,0,11,0,6,0,0,0,0,0,10,2,0,0,0,20,0,0,0,0,0,0,0,0,0
apple,0,0,5,0,0,0,11,0,1,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,3,0,0,0,0
apricot,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,41,0,0,20,0,0,0,0
artichoke,0,2,4,0,6,14,20,22,3,10,0,7,0,6,6,6,7,0,0,3,4,0,0,5,8,0,1,12,4
arugula,0,12,1,0,0,0,5,14,8,0,0,0,0,0,8,6,0,0,0,1,0,13,0,0,16,0,0,90,0
asparagus,0,2,1,0,0,0,9,0,13,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
aspen,0,6,20,0,0,0,14,0,8,0,0,0,0,0,0,16,0,0,0,26,0,0,0,0,0,0,0,0,0
avocado,0,3,3,13,1,1,0,1,2,2,0,1,0,2,1,4,4,30,3,38,2,1,11,1,0,0,31,81,2
bacon,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,78,0,0,0,0,0,0,0,0,0
bake,0,3,8,2,4,19,16,2,8,7,0,2,0,7,5,9,1,1,9,17,3,0,0,3,0,0,0,0,5
banana,0,10,15,0,0,0,22,0,6,0,0,0,0,0,0,25,0,0,0,26,0,0,0,0,17,0,0,0,0
barley,0,1,10,1,2,11,13,4,7,5,0,12,0,4,2,4,5,5,15,9,7,3,0,9,0,0,2,2,7
basil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bass,0,2,4,12,10,5,2,10,6,9,0,14,0,14,5,32,12,10,56,17,18,4,10,17,0,22,19,10,4
bean,0,2,6,0,3,22,18,5,9,10,0,3,0,8,8,11,8,2,14,19,8,0,0,7,1,0,6,1,6
beef,2,12,0,0,0,0,16,18,21,0,0,66,0,11,13,34,17,0,0,14,83,0,0,21,0,0,0,0,60
beer,0,0,1,0,2,1,0,2,0,1,0,3,0,1,1,1,2,0,1,0,0,0,1,3,0,0,0,0,0
beet,0,1,6,0,3,13,3,7,2,4,0,2,0,1,2,2,4,0,2,6,1,0,0,3,3,0,0,0,2
berry,0,1,5,0,1,7,15,5,3,3,0,4,0,2,3,2,3,0,1,0,2,0,0,3,19,0,5,10,2
birthday,37,0,24,0,0,0,20,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0
biscuit,0,31,12,18,0,0,5,0,13,0,0,0,0,0,0,16,0,0,0,24,0,74,0,0,0,0,0,0,0
bitters,0,1,2,1,2,4,7,12,2,4,0,2,0,3,7,2,4,3,0,6,4,2,0,3,35,0,3,6,7
blackberry,0,0,2,0,0,0,6,0,233,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,9,0,0,0,0
blender,0,2,31,0,0,0,18,280,150,6,0,104,0,11,4,14,108,0,0,22,104,186,208,98,22,665,1,0,114
blueberry,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boil,0,4,8,0,6,55,31,19,6,24,0,33,0,16,4,27,5,14,8,33,22,0,0,9,0,0,27,0,17
boston,0,10,17,0,3,16,14,25,20,10,0,35,0,10,3,21,19,3,52,20,34,0,0,7,0,0,1,4,9
bourbon,71,0,19,0,0,0,13,0,24,34,43,0,0,0,9,21,0,0,0,4,0,0,0,0,0,0,0,0,49
braise,0,1,1,130,0,310,0,54,38,5,18,67,91,34,5,49,315,0,0,3,16,10667,2958,54,25,0,0,0,55
